Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK,City,State
Apartments,2.0,2.0,Furnished,550,Ready to Move,4.0,750.0,North-East,0.0,3500000.0,"Beleghata East, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Builder Floors,4.0,3.0,Semi-Furnished,2250,Ready to Move,2.0,1250.0,North,2.0,15000000.0,"Bankual, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Builder Floors,1.0,1.0,Semi-Furnished,350,Ready to Move,3.0,350.0,West,0.0,2800000.0,"Juhu Tara Road, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,3.0,3.0,Unfurnished,1500,Under Construction,13.0,1950.0,East,1.0,20000000.0,"Koregaon Park Extension, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,2.0,1.0,Semi-Furnished,525,Ready to Move,3.0,700.0,South-East,0.0,2500000.0,"Beleghata, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,1.0,1.0,Unfurnished,373,Ready to Move,7.0,565.0,North,,5100000.0,"Kharghar, Navi  Mumbai, Maharashtra",1.0,Navi  Mumbai,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,1100,Ready to Move,6.0,1180.0,,,5500000.0,"Sector 22, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Houses & Villas,4.0,4.0,Semi-Furnished,4203,Ready to Move,1.0,4950.0,West,1.0,45000000.0,"Paldi, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,3.0,2.0,Furnished,1024,New Launch,3.0,1335.0,East,1.0,6325480.0,"Nayapalli, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,1.0,1.0,Semi-Furnished,330,Ready to Move,7.0,430.0,,0.0,9000000.0,"Dharavi, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Farm Houses,,,,1000,,,1000.0,,,199000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,1.0,1.0,Unfurnished,225,Ready to Move,24.0,400.0,North-East,0.0,4500000.0,"Parel,  Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,3.0,3.0,Unfurnished,850,Under Construction,4.0,1579.0,East,1.0,8684500.0,"Khandagiri, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,3.0,2.0,Unfurnished,868,Under Construction,5.0,1260.0,North,1.0,6000000.0,"Pahala, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Builder Floors,1.0,1.0,Furnished,356,Ready to Move,4.0,356.0,West,,3000000.0,"Virendra Nagar, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,3.0,3.0,Furnished,1350,Ready to Move,7.0,2079.0,North,1.0,16000000.0,"Navrangpura, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,3.0,2.0,Semi-Furnished,1080,Ready to Move,4.0,1200.0,West,3.0,2800000.0,"Khyala, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,550,Ready to Move,4.0,850.0,South-West,0.0,3900000.0,"Trimurti Nagar, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,,,Semi-Furnished,828,Ready to Move,,828.0,,,2100000.0,"Pachpaoli, Nagpur, Maharashtra",,Nagpur,Maharashtra
Houses & Villas,3.0,3.0,Semi-Furnished,150,Ready to Move,1.0,1350.0,North-East,1.0,20000000.0,"Thaltej, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,2.0,2.0,Furnished,1270,Ready to Move,,1300.0,,1.0,17000000.0,"Kalyani Nagar, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,3.0,3.0,Furnished,1250,Ready to Move,4.0,1800.0,East,1.0,18000.0,"Kalinga Nagar Ghatikia, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Houses & Villas,4.0,4.0,Furnished,820,Ready to Move,3.0,870.0,East,1.0,10500000.0,"Rajabagicha, Cuttack, Odisha",4.0,Cuttack,Odisha
Apartments,1.0,1.0,Unfurnished,550,Ready to Move,4.0,635.0,East,1.0,3000000.0,"Dhayri, Pune, Maharashtra",1.0,Pune,Maharashtra
Apartments,2.0,2.0,Unfurnished,761,New Launch,21.0,1065.0,East,1.0,4900000.0,"Market Yard, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,1.0,,,310,,,401.0,,,6000000.0,"Andheri West, Mumbai, Maharashtra",,Mumbai,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,470,Ready to Move,10.0,470.0,North,1.0,3500000.0,"Shivaji Nagar, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Furnished,1200,Ready to Move,5.0,1200.0,South,1.0,5500000.0,"Chaudhari Tola, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Apartments,1.0,2.0,Unfurnished,387,New Launch,20.0,650.0,West,1.0,7500000.0,"Kurla East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Builder Floors,3.0,1.0,Unfurnished,900,Ready to Move,4.0,1075.0,North-West,1.0,3762000.0,"Picnic Garden, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,3.0,3.0,Semi-Furnished,1400,Under Construction,6.0,1500.0,East,1.0,6500000.0,"Omkar Nagar, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Furnished,650,Ready to Move,4.0,777.0,West,1.0,3200000.0,"Gotal Pajri, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,2.0,1.0,Semi-Furnished,360,Ready to Move,4.0,450.0,West,0.0,1500000.0,"Picnic Garden, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Houses & Villas,1.0,1.0,Semi-Furnished,660,Ready to Move,1.0,600.0,North,1.0,6200000.0,"Indira Nagar, Lucknow, Uttar Pradesh",1.0,Lucknow,Uttar Pradesh
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Barha Railway Colony, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Houses & Villas,1.0,2.0,Unfurnished,600,Ready to Move,1.0,600.0,,,1800000.0,"Kalmna, Nagpur, Maharashtra",1.0,Nagpur,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,375,Ready to Move,7.0,480.0,,1.0,9500000.0,"Sion East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,3.0,3.0,Semi-Furnished,1400,Ready to Move,4.0,5000.0,East,,9900000.0,"Civil Lines, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,720,Ready to Move,5.0,1035.0,North,2.0,3800000.0,"Ghodasar, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,4.0,4.0,Semi-Furnished,2600,Ready to Move,2.0,1500.0,South,1.0,12500000.0,"Patia, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Builder Floors,3.0,2.0,Semi-Furnished,795,Ready to Move,4.0,825.0,South-East,1.0,4100000.0,"Nawada, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,,1.0,Unfurnished,280,Ready to Move,6.0,350.0,South-West,1.0,3000000.0,"Ghodbunder, Mumbai, Maharashtra",,Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,790,Ready to Move,13.0,1060.0,West,1.0,32500000.0,"Versova, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,551,New Launch,14.0,534.0,East,2.0,14500.0,"Ranip, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,3.0,3.0,Unfurnished,800,Ready to Move,30.0,1100.0,North-East,2.0,8000000.0,"Majiwada, Thane, Maharashtra",3.0,Thane,Maharashtra
Apartments,2.0,2.0,Furnished,900,Ready to Move,5.0,900.0,,,4800000.0,"Usmanpura, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,4.0,4.0,Furnished,2850,Ready to Move,3.0,1200.0,South-West,1.0,14000000.0,"Hansapal, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Apartments,3.0,2.0,Unfurnished,1100,Under Construction,3.0,1200.0,West,0.0,5000000.0,"Paikpara, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,4.0,4.0,Unfurnished,1200,Ready to Move,1.0,1600.0,East,1.0,6500000.0,"Chembur, Mumbai, Maharashtra",4.0,Mumbai,Maharashtra
Apartments,2.0,1.0,Semi-Furnished,620,Ready to Move,3.0,742.0,North-East,0.0,2200000.0,"Ultadanga, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Houses & Villas,3.0,2.0,Semi-Furnished,300,Ready to Move,3.0,950.0,East,0.0,4500000.0,"Oblige, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Unfurnished,900,New Launch,,900.0,,0.0,12000.0,"Kaisarbagh, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Builder Floors,3.0,3.0,Unfurnished,1250,Under Construction,22.0,1700.0,East,1.0,14100000.0,"Magarpatta City, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,3.0,3.0,Unfurnished,943,Under Construction,22.0,1225.0,East,1.0,10500000.0,"Koregaon Park Extension, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,2.0,2.0,Unfurnished,600,Under Construction,4.0,800.0,South,3.0,3840000.0,"Saltlake Sector V, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,2.0,2.0,Semi-Furnished,850,Ready to Move,3.0,1000.0,West,1.0,2700000.0,"Zingabai Takli, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Furnished,900,Ready to Move,4.0,1100.0,East,1.0,4000000.0,"Koradi Road, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,1.0,1.0,Unfurnished,369,Under Construction,19.0,600.0,,,4200000.0,"Palaspe Phata, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Semi-Furnished,800,Ready to Move,9.0,1280.0,East,1.0,15000000.0,"Naupada, Thane, Maharashtra",2.0,Thane,Maharashtra
